carbon-kernel,4.6.x
carbon-multitenancy,4.9.x
carbon-identity-framework,5.18.x
identity-governance,1.4.x
identity-inbound-auth-oauth,6.4.x
identity-oauth2-grant-jwt,1.0.x
identity-user-ws,5.4.x
identity-carbon-auth-saml2,5.5.x
identity-inbound-auth-openid,5.6.x
identity-local-auth-basicauth,6.3.x
identity-outbound-auth-samlsso,5.3.x
identity-data-publisher-authentication,5.3.x
carbon-identity-saml-common,1.0.x
identity-event-handler-account-lock,1.4.x
identity-event-handler-notification,1.3.x
identity-inbound-auth-sts,5.6.x
identity-data-publisher-oauth,1.3.x
identity-metadata-saml2,1.4.x
identity-carbon-auth-rest,1.4.x
identity-apps,1.0.x
carbon-consent-management,2.2.x
identity-outbound-auth-oidc,5.6.x
identity-outbound-provisioning-scim,5.2.x
identity-outbound-provisioning-salesforce,5.1.x
identity-outbound-provisioning-google,5.1.x
identity-outbound-auth-yahoo,5.1.x
identity-outbound-auth-x509,3.0.x
identity-outbound-auth-windows-live,5.1.x
identity-outbound-auth-twitter,1.0.x
identity-outbound-auth-totp,2.2.x
identity-outbound-auth-sms-otp,3.0.x
identity-outbound-auth-requestpath-oauth,5.3.x
identity-outbound-auth-requestpath-basicauth,5.4.x
identity-outbound-auth-passive-sts,5.4.x
identity-outbound-auth-office365,2.0.x
identity-outbound-auth-google,5.1.x
identity-outbound-auth-facebook,5.1.x
identity-outbound-auth-email-otp,3.0.x
identity-oauth-uma,1.2.x
identity-oauth-addons,2.3.x
identity-local-auth-iwa-kerberos,5.3.x
identity-local-auth-fido,5.2.x
identity-local-auth-api,2.4.x
identity-inbound-provisioning-scim2,1.5.x
identity-inbound-provisioning-scim,5.6.x
identity-inbound-auth-saml,5.8.x
identity-data-publisher-audit,1.3.x
identity-conditional-auth-functions,1.1.x
identity-carbon-auth-mutual-ssl,5.4.x
identity-carbon-auth-iwa,5.4.x
identity-application-authz-xacml,2.2.x
identity-api-user,1.1.x
identity-api-server,1.0.x
identity-anonymization-tool,1.3.x
charon,3.3.x
identity-x509-commons,1.0.x
identity-rest-dispatcher,1.0.x
identity-user-workflow ,5.4.x
identity-workflow-impl-bps,5.4.x
identity-workflow-template-multisteps,5.4.x
identity-user-account-association,5.4.x
identity-userstore-ldap,6.2.x
identity-userstore-remote,5.2.x
identity-fetch-remote,0.7.x
identity-tools-debugger,0.5.x
identity-tool-samlsso-validator,5.4.x
identity-extension-utils,1.0.x
cipher-tool,1.1.x
